"col_id","col_name","name"
2,"Madison Co, Alabama","Tennessee"
2,"Madison Co, Alabama","Alabama"
3,"Jackson County, Alabama","Georgia"
3,"Jackson County, Alabama","Tennessee"
3,"Jackson County, Alabama","Alabama"
4,"Blount County, Alabama","Alabama"
5,"Dekalb & Western Etowah Counties, Alabama","Alabama"
6,"Western Valley & Ridge, Northern Segment, Alabama","Georgia"
6,"Western Valley & Ridge, Northern Segment, Alabama","Alabama"
7,"Eastern Valley and Ridge, Northern Segment, Alabama","Alabama"
8,"Western Valley & Ridge, Southern Segment, Alabama","Alabama"
9,"Eastern Valley & Ridge, Southern Segment, Alabama","Alabama"
10,"Northwestern Valley & Ridge & Plateau, Georgia","Georgia"
10,"Northwestern Valley & Ridge & Plateau, Georgia","Tennessee"
10,"Northwestern Valley & Ridge & Plateau, Georgia","Alabama"
11,"Southeastern Valley & Ridge, Georgia","Georgia"
11,"Southeastern Valley & Ridge, Georgia","Tennessee"
12,"Cumberland Plateau & Adjacent Areas, Tennessee","Kentucky"
12,"Cumberland Plateau & Adjacent Areas, Tennessee","Tennessee"
13,"Pine Mountain Overthrust & Adjacent Areas, Tennessee","Tennessee"
13,"Pine Mountain Overthrust & Adjacent Areas, Tennessee","Virginia"
13,"Pine Mountain Overthrust & Adjacent Areas, Tennessee","Kentucky"
14,"Northern Unaka Mountains & Adjacent Valley & Ridge, Tennessee","Virginia"
14,"Northern Unaka Mountains & Adjacent Valley & Ridge, Tennessee","Tennessee"
14,"Northern Unaka Mountains & Adjacent Valley & Ridge, Tennessee","North Carolina"
15,"Southern Unaka Mountains and Adjacent Valley & Ridge, Tennessee","Tennessee"
16,"Valley & Ridge, Tennessee","Tennessee"
17,"South-central, Ohio","Ohio"
17,"South-central, Ohio","West Virginia"
18,"Northeastern Kentucky","Kentucky"
18,"Northeastern Kentucky","Ohio"
18,"Northeastern Kentucky","West Virginia"
19,"Eastern Kentucky","Kentucky"
19,"Eastern Kentucky","West Virginia"
20,"Southeastern Kentucky: North of Pine Mtn","Kentucky"
21,"Lee County, Virginia","Tennessee"
21,"Lee County, Virginia","Virginia"
21,"Lee County, Virginia","Kentucky"
22,"Northern Part Chautauqua Platform","Oklahoma"
22,"Northern Part Chautauqua Platform","Kansas"
23,"Appalachian Plateau, Virginia","Kentucky"
23,"Appalachian Plateau, Virginia","West Virginia"
23,"Appalachian Plateau, Virginia","Virginia"
24,"Southern Part Chautauqua Platform","Oklahoma"
25,"Scott and Russell Counties, Virginia","Virginia"
25,"Scott and Russell Counties, Virginia","Tennessee"
25,"Scott and Russell Counties, Virginia","Kentucky"
26,"Lehigh Basin Portion of Arkoma Basin","Oklahoma"
